number of photons = 10000.000000
bin size = 0.01000 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2] 	 Fobl [1/cm2]
2.66500 	 9.531e-03 	 2.907e-02 	 1.898e-01 	 1.748e-03 
2.67500 	 9.216e-03 	 2.863e-02 	 1.856e-01 	 1.683e-03 
2.68500 	 9.152e-03 	 2.744e-02 	 1.900e-01 	 1.627e-03 
2.69500 	 8.940e-03 	 2.717e-02 	 1.859e-01 	 1.627e-03 
2.70500 	 8.653e-03 	 2.673e-02 	 1.819e-01 	 1.619e-03 
2.71500 	 8.544e-03 	 2.668e-02 	 1.736e-01 	 1.570e-03 
2.72500 	 8.314e-03 	 2.606e-02 	 1.785e-01 	 1.521e-03 
2.73500 	 8.106e-03 	 2.524e-02 	 1.774e-01 	 1.503e-03 
2.74500 	 7.832e-03 	 2.470e-02 	 1.686e-01 	 1.460e-03 
2.75500 	 7.881e-03 	 2.471e-02 	 1.713e-01 	 1.413e-03 
2.76500 	 7.583e-03 	 2.465e-02 	 1.645e-01 	 1.393e-03 
2.77500 	 7.561e-03 	 2.449e-02 	 1.604e-01 	 1.343e-03 
2.78500 	 7.507e-03 	 2.382e-02 	 1.598e-01 	 1.272e-03 
2.79500 	 7.315e-03 	 2.303e-02 	 1.543e-01 	 1.292e-03 
2.80500 	 7.221e-03 	 2.270e-02 	 1.531e-01 	 1.250e-03 
2.81500 	 6.950e-03 	 2.254e-02 	 1.526e-01 	 1.221e-03 
2.82500 	 6.807e-03 	 2.217e-02 	 1.448e-01 	 1.205e-03 
2.83500 	 6.783e-03 	 2.152e-02 	 1.471e-01 	 1.210e-03 
2.84500 	 6.561e-03 	 2.163e-02 	 1.430e-01 	 1.166e-03 
2.85500 	 6.554e-03 	 2.145e-02 	 1.392e-01 	 1.138e-03 
2.86500 	 6.387e-03 	 2.067e-02 	 1.319e-01 	 1.103e-03 
2.87500 	 6.312e-03 	 1.990e-02 	 1.312e-01 	 1.031e-03 
2.88500 	 6.183e-03 	 1.975e-02 	 1.307e-01 	 1.031e-03 
2.89500 	 6.106e-03 	 1.931e-02 	 1.288e-01 	 9.973e-04 
2.90500 	 5.994e-03 	 1.900e-02 	 1.222e-01 	 9.911e-04 
2.91500 	 5.813e-03 	 1.870e-02 	 1.272e-01 	 9.540e-04 
2.92500 	 5.749e-03 	 1.880e-02 	 1.213e-01 	 9.448e-04 
2.93500 	 5.693e-03 	 1.838e-02 	 1.207e-01 	 9.085e-04 
2.94500 	 5.576e-03 	 1.794e-02 	 1.213e-01 	 9.116e-04 
2.95500 	 5.354e-03 	 1.790e-02 	 1.208e-01 	 8.748e-04 
2.96500 	 5.283e-03 	 1.773e-02 	 1.178e-01 	 8.877e-04 
2.97500 	 5.175e-03 	 1.733e-02 	 1.116e-01 	 8.681e-04 
2.98500 	 5.039e-03 	 1.687e-02 	 1.082e-01 	 8.697e-04 
2.99500 	 4.975e-03 	 1.672e-02 	 1.092e-01 	 8.584e-04 
3.00500 	 4.896e-03 	 1.658e-02 	 1.078e-01 	 8.364e-04 
3.01500 	 4.834e-03 	 1.619e-02 	 1.105e-01 	 8.380e-04 
3.02500 	 4.745e-03 	 1.575e-02 	 1.066e-01 	 8.095e-04 
