number of photons = 10000.000000
bin size = 0.00400 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2] 	 Fobl [1/cm2]
0.61000 	 4.928e-03 	 2.841e-03 	 3.798e-03 	 5.733e-04 
0.61400 	 4.684e-03 	 2.730e-03 	 3.434e-03 	 5.453e-04 
0.61800 	 4.764e-03 	 2.672e-03 	 3.304e-03 	 5.295e-04 
0.62200 	 4.444e-03 	 2.445e-03 	 3.209e-03 	 4.939e-04 
0.62600 	 4.057e-03 	 2.321e-03 	 3.142e-03 	 4.483e-04 
0.63000 	 3.917e-03 	 2.198e-03 	 3.116e-03 	 4.781e-04 
0.63400 	 3.582e-03 	 2.048e-03 	 2.757e-03 	 4.098e-04 
0.63800 	 3.485e-03 	 1.910e-03 	 2.577e-03 	 4.209e-04 
0.64200 	 3.246e-03 	 1.742e-03 	 2.240e-03 	 3.600e-04 
0.64600 	 3.010e-03 	 1.779e-03 	 2.048e-03 	 2.981e-04 
0.65000 	 2.831e-03 	 1.664e-03 	 1.990e-03 	 3.015e-04 
0.65400 	 2.936e-03 	 1.626e-03 	 1.937e-03 	 3.148e-04 
0.65800 	 2.607e-03 	 1.460e-03 	 1.933e-03 	 2.450e-04 
0.66200 	 2.555e-03 	 1.339e-03 	 1.629e-03 	 2.348e-04 
0.66600 	 2.472e-03 	 1.378e-03 	 1.799e-03 	 2.680e-04 
0.67000 	 2.299e-03 	 1.367e-03 	 1.808e-03 	 2.350e-04 
0.67400 	 2.198e-03 	 1.415e-03 	 1.595e-03 	 1.716e-04 
0.67800 	 2.032e-03 	 1.205e-03 	 1.328e-03 	 2.054e-04 
0.68200 	 1.968e-03 	 1.046e-03 	 1.494e-03 	 2.035e-04 
0.68600 	 1.745e-03 	 9.385e-04 	 1.641e-03 	 1.884e-04 
0.69000 	 1.746e-03 	 1.028e-03 	 1.298e-03 	 1.723e-04 
0.69400 	 1.603e-03 	 1.005e-03 	 1.366e-03 	 1.691e-04 
0.69800 	 1.549e-03 	 8.811e-04 	 1.427e-03 	 2.124e-04 
0.70200 	 1.320e-03 	 8.264e-04 	 1.254e-03 	 1.871e-04 
0.70600 	 1.351e-03 	 7.794e-04 	 1.316e-03 	 1.530e-04 
0.71000 	 1.303e-03 	 7.616e-04 	 1.063e-03 	 1.476e-04 
0.71400 	 1.193e-03 	 7.146e-04 	 1.275e-03 	 1.578e-04 
0.71800 	 1.177e-03 	 6.670e-04 	 9.914e-04 	 1.628e-04 
0.72200 	 1.106e-03 	 7.002e-04 	 9.529e-04 	 1.438e-04 
0.72600 	 1.019e-03 	 6.832e-04 	 8.024e-04 	 1.211e-04 
0.73000 	 9.230e-04 	 5.897e-04 	 7.204e-04 	 1.303e-04 
0.73400 	 9.295e-04 	 5.774e-04 	 8.163e-04 	 1.201e-04 
0.73800 	 8.616e-04 	 5.618e-04 	 8.103e-04 	 1.044e-04 
0.74200 	 7.838e-04 	 4.752e-04 	 7.953e-04 	 1.242e-04 
0.74600 	 7.754e-04 	 4.996e-04 	 8.927e-04 	 9.993e-05 
0.75000 	 6.920e-04 	 5.286e-04 	 5.943e-04 	 7.153e-05 
0.75400 	 6.864e-04 	 4.326e-04 	 5.871e-04 	 8.395e-05 
0.75800 	 6.518e-04 	 3.958e-04 	 5.143e-04 	 5.055e-05 
